TransactionID,AccountNumber,TransactionType,Amount,TransactionDate,BranchCode,Currency,TransactionTime,TransactionStatus,Channel,IsInternational,Fees,TransactionCategory,GeoLocation
28,781925,Transfer,4614.93560760695,2023-01-28 00:00:00,4,USD,7,Reversed,Online Banking,Yes,0,Loan Payment,"52.5200,13.4050"
29,528097,Withdrawal,1859.80724521745,2023-01-29 00:00:00,15,GBP,2,Completed,ATM,,2.5,Cash Withdrawal,"35.6895,139.6917"
30,167556,Transfer,4381.77682264508,2023-01-30 00:00:00,268,EUR,6,Completed,ATM,No,2.5,Loan Payment,"52.5200,13.4050"
31,686034,Payment,8287.95667229721,2023-01-31 00:00:00,323,GBP,19,Completed,Mobile App,No,1,Shopping,"51.5074,-0.1278"
32,501942,Payment,5301.6376985133,2023-02-01 00:00:00,364,EUR,8,Completed,Mobile App,No,1,Utility,"52.5200,13.4050"
33,890231,Withdrawal,4184.23584936709,2023-02-02 00:00:00,262,EUR,10,Completed,ATM,Yes,2.5,Cash Withdrawal,"35.6895,139.6917"
34,337008,Transfer,,2023-02-03 00:00:00,72,GBP,18,Completed,Online Banking,Yes,0,Loan Payment,"-33.8688,151.2093"
35,937337,Transfer,8679.33497467256,2023-02-04 00:00:00,62,USD,19,Failed,Branch,Yes,5,Loan Payment,"-33.8688,151.2093"
36,950280,Payment,6977.62774903783,2023-02-05 00:00:00,317,GBP,15,Completed,POS,Yes,1.5,Shopping,"40.7128,-74.0060"
37,907384,Transfer,7651.59327569957,2023-02-06 00:00:00,281,GBP,12,Completed,Online Banking,Yes,0,Loan Payment,"40.7128,-74.0060"
38,710890,Withdrawal,7064.21283648329,2023-02-07 00:00:00,282,EUR,2,Completed,ATM,Yes,2.5,Cash Withdrawal,"51.5074,-0.1278"
39,319243,Deposit,2185.77633270918,2023-02-08 00:00:00,255,GBP,5,Completed,Online Banking,Yes,0,Salary,"35.6895,139.6917"
40,394174,Transfer,9569.31446008599,2023-02-09 00:00:00,206,EUR,6,Completed,Branch,Yes,5,Loan Payment,"35.6895,139.6917"
41,192126,Transfer,9257.40780751491,2023-02-10 00:00:00,61,JPY,11,Completed,Online Banking,Yes,0,Loan Payment,"-33.8688,151.2093"
42,334892,Withdrawal,,2023-02-11 00:00:00,342,USD,9,Completed,ATM,,2.5,Cash Withdrawal,"52.5200,13.4050"
43,975629,Payment,268.983081922093,2023-02-12 00:00:00,192,EUR,15,Completed,POS,Yes,1.5,Utility,
44,197133,Deposit,,2023-02-13 00:00:00,425,GBP,17,Completed,,Yes,0,Salary,"52.5200,13.4050"
45,109915,Deposit,1381.1255977484,2023-02-14 00:00:00,261,USD,11,Completed,Branch,Yes,5,Salary,"52.5200,13.4050"
46,924918,Withdrawal,1306.52803104739,2023-02-15 00:00:00,319,*^$$,2,Completed,ATM,Yes,2.5,Cash Withdrawal,"40.7128,-74.0060"
47,401469,Payment,1198.85814634577,2023-02-16 00:00:00,458,EUR,7,,Mobile App,Yes,1,,"35.6895,139.6917"
48,595592,,,2023-02-17 00:00:00,477,JPY,10,Completed,POS,Yes,1.5,Loan Payment,"51.5074,-0.1278"
49,235933,Transfer,8612.49879727393,2023-02-18 00:00:00,309,USD,2,Completed,Online Banking,Yes,0,Loan Payment,"-33.8688,151.2093"
50,366098,Payment,6726.80025879758,2023-02-19 00:00:00,340,EUR,10,Failed,Mobile App,Yes,1,Shopping,"35.6895,139.6917"
51,610886,Deposit,6787.91776298802,2023-02-20 00:00:00,310,EUR,15,Completed,Branch,Yes,5,Salary,"35.6895,139.6917"
52,936946,Withdrawal,9710.90284698442,2023-02-21 00:00:00,289,GBP,13,Completed,ATM,Yes,2.5,Cash Withdrawal,"-33.8688,151.2093"
53,766730,Withdrawal,,2023-02-22 00:00:00,6,USD,8,Completed,ATM,Yes,2.5,Cash Withdrawal,"51.5074,-0.1278"
54,648500,Withdrawal,1454.85853938716,2023-02-23 00:00:00,378,GBP,22,Failed,ATM,Yes,2.5,Cash Withdrawal,"52.5200,13.4050"
55,926054,,884.179346660663,2023-02-24 00:00:00,420,JPY,15,Completed,Mobile App,Yes,1,Loan Payment,"-33.8688,151.2093"
56,107588,Deposit,2572.43347893293,2023-02-25 00:00:00,229,USD,21,Completed,Online Banking,Yes,0,Salary,"-33.8688,151.2093"
57,377515,Transfer,9475.61258483868,2023-02-26 00:00:00,225,EUR,14,Completed,ATM,Yes,2.5,Loan Payment,"35.6895,139.6917"
58,485494,,2823.58455982396,2023-02-27 00:00:00,33,USD,16,Completed,Online Banking,Yes,0,Loan Payment,"52.5200,13.4050"
59,761994,Payment,,2023-02-28 00:00:00,376,EUR,13,Completed,Mobile App,Yes,1,Utility,"51.5074,-0.1278"
60,369204,Transfer,4011.01839868024,2023-03-01 00:00:00,46,USD,21,Completed,POS,Yes,1.5,Loan Payment,"35.6895,139.6917"
61,711487,Payment,5958.21976331323,2023-03-02 00:00:00,342,EUR,16,Completed,POS,Yes,1.5,Travel,"40.7128,-74.0060"
62,613253,Deposit,5748.93884690225,2023-03-03 00:00:00,43,JPY,23,Failed,Branch,No,,Salary,"35.6895,139.6917"
63,801052,Payment,6355.1977994857,2023-03-04 00:00:00,491,JPY,20,,POS,Yes,1.5,Shopping,"52.5200,13.4050"
64,600157,Transfer,830.442215654953,2023-03-05 00:00:00,18,GBP,1,Completed,ATM,Yes,2.5,Loan Payment,"40.7128,-74.0060"
65,218804,Withdrawal,9077.20116631332,2023-03-06 00:00:00,319,JPY,8,Completed,ATM,Yes,2.5,,"-33.8688,151.2093"
66,834035,Payment,2642.10256582854,2023-03-07 00:00:00,307,GBP,22,Pending,Mobile App,Yes,,,
67,871727,,1880.92590612046,2023-03-08 00:00:00,211,GBP,10,Completed,Mobile App,Yes,1,Loan Payment,"40.7128,-74.0060"
68,930814,Payment,632.794274764127,2023-03-09 00:00:00,188,EUR,2,Reversed,Mobile App,Yes,1,Shopping,"51.5074,-0.1278"
69,319021,Deposit,,2023-03-10 00:00:00,471,JPY,16,,Online Banking,No,0,Salary,"35.6895,139.6917"
70,489292,Deposit,5648.98859521703,2023-03-11 00:00:00,381,EUR,10,Completed,Online Banking,No,0,Salary,"52.5200,13.4050"
71,250484,Withdrawal,7291.62213886005,2023-03-12 00:00:00,407,EUR,11,Completed,ATM,Yes,2.5,Cash Withdrawal,"-33.8688,151.2093"
72,547257,Transfer,426.83264557524,2023-03-13 00:00:00,169,JPY,1,Completed,Mobile App,Yes,1,Loan Payment,"52.5200,13.4050"
73,730378,Deposit,8590.0109031713,2023-03-14 00:00:00,308,GBP,11,Completed,Branch,Yes,5,Salary,"-33.8688,151.2093"
74,925299,Withdrawal,8838.60208414841,2023-03-15 00:00:00,374,USD,6,Completed,,Yes,,Cash Withdrawal,"35.6895,139.6917"
75,752678,Payment,6189.47654306441,2023-03-16 00:00:00,246,USD,14,Completed,POS,Yes,1.5,Travel,"35.6895,139.6917"
76,794774,Transfer,6841.48102038717,2023-03-17 00:00:00,333,EUR,5,Completed,Online Banking,No,0,Loan Payment,"52.5200,13.4050"
77,124845,Deposit,7150.56161508031,2023-03-18 00:00:00,187,USD,20,Pending,Branch,Yes,5,Salary,"-33.8688,151.2093"
78,820202,Payment,8541.98275382266,2023-03-19 00:00:00,368,USD,2,Completed,POS,Yes,1.5,Utility,"35.6895,139.6917"
79,733075,Withdrawal,6025.27399231505,2023-03-20 00:00:00,269,EUR,12,Completed,ATM,Yes,2.5,Cash Withdrawal,"-33.8688,151.2093"
80,273481,,1847.10482733188,2023-03-21 00:00:00,31,GBP,2,Completed,ATM,,2.5,Loan Payment,"52.5200,13.4050"
81,478475,Payment,2932.22639397606,2023-03-22 00:00:00,4,JPY,22,Completed,POS,Yes,1.5,Utility,"52.5200,13.4050"
82,413035,Deposit,,2023-03-23 00:00:00,364,EUR,17,Pending,Branch,Yes,5,Salary,"35.6895,139.6917"
83,859997,Payment,6624.99344838054,2023-03-24 00:00:00,141,USD,16,Completed,POS,Yes,1.5,Shopping,"-33.8688,151.2093"
84,422499,Withdrawal,7551.76834690123,2023-03-25 00:00:00,82,JPY,6,Completed,ATM,No,2.5,Cash Withdrawal,"35.6895,139.6917"
85,488440,Transfer,1843.0465790633,2023-03-26 00:00:00,162,JPY,8,Completed,Online Banking,Yes,0,Loan Payment,"-33.8688,151.2093"
86,879077,Transfer,6748.43101332995,2023-03-27 00:00:00,336,EUR,12,Completed,Online Banking,No,0,Loan Payment,"52.5200,13.4050"
87,522275,,3938.51725308672,2023-03-28 00:00:00,491,USD,3,Completed,Mobile App,No,1,Loan Payment,"40.7128,-74.0060"
88,841566,Withdrawal,4585.6817221727,2023-03-29 00:00:00,171,GBP,14,Completed,ATM,Yes,2.5,Cash Withdrawal,"52.5200,13.4050"
89,182086,Payment,3781.16628249943,2023-03-30 00:00:00,5,USD,13,Completed,POS,Yes,1.5,Travel,"52.5200,13.4050"
90,282848,Payment,9143.82564803694,2023-03-31 00:00:00,125,USD,13,Completed,POS,Yes,1.5,Utility,"52.5200,13.4050"
91,555445,Withdrawal,4490.07269666171,2023-04-01 00:00:00,166,USD,7,,ATM,Yes,2.5,Cash Withdrawal,"52.5200,13.4050"
92,808573,,318.985824820251,2023-04-02 00:00:00,146,USD,1,Completed,Online Banking,Yes,0,Loan Payment,"51.5074,-0.1278"
93,933728,Transfer,6770.12353309875,2023-04-03 00:00:00,248,JPY,23,,Online Banking,Yes,0,Loan Payment,"52.5200,13.4050"
94,583223,,9596.53316818702,2023-04-04 00:00:00,16,GBP,12,Completed,POS,,,Loan Payment,"35.6895,139.6917"
95,100268,Withdrawal,7024.74982954534,2023-04-05 00:00:00,95,EUR,4,Completed,ATM,Yes,2.5,Cash Withdrawal,"40.7128,-74.0060"
96,232531,Withdrawal,9495.19950129392,2023-04-06 00:00:00,113,JPY,5,Completed,ATM,No,2.5,Cash Withdrawal,"35.6895,139.6917"
97,545627,Withdrawal,240.970209617402,2023-04-07 00:00:00,394,EUR,4,Completed,ATM,Yes,2.5,Cash Withdrawal,"-33.8688,151.2093"
98,109474,Transfer,3691.58553390238,2023-04-08 00:00:00,358,USD,10,Completed,POS,No,1.5,,"40.7128,-74.0060"
99,992035,Payment,6769.08039341119,2023-04-09 00:00:00,194,JPY,19,Completed,POS,Yes,1.5,Shopping,"40.7128,-74.0060"
100,168462,Transfer,9974.06674682853,2023-04-10 00:00:00,166,JPY,20,Completed,POS,No,1.5,Loan Payment,"35.6895,139.6917"
101,536128,Transfer,9779.90897719007,2023-04-11 00:00:00,284,GBP,11,Completed,Online Banking,Yes,0,Loan Payment,"52.5200,13.4050"
102,842559,Withdrawal,1680.85491851771,2023-04-12 00:00:00,499,GBP,2,Completed,ATM,No,2.5,Cash Withdrawal,"51.5074,-0.1278"
103,875193,Payment,2441.00740191251,2023-04-13 00:00:00,247,EUR,4,Completed,,Yes,1.5,Travel,"-33.8688,151.2093"
104,803319,Payment,6464.05072079826,2023-04-14 00:00:00,263,GBP,11,,POS,No,1.5,Utility,"51.5074,-0.1278"
105,102194,Withdrawal,5837.39647465353,2023-04-15 00:00:00,447,EUR,19,Pending,ATM,Yes,2.5,Cash Withdrawal,"35.6895,139.6917"
106,246136,Deposit,6148.59766086861,2023-04-16 00:00:00,444,USD,19,Completed,Branch,Yes,5,Salary,"52.5200,13.4050"
107,640162,Deposit,8921.53004878061,2023-04-17 00:00:00,219,EUR,9,Completed,,Yes,0,Salary,"35.6895,139.6917"
108,474054,Payment,3027.28043149897,2023-04-18 00:00:00,294,GBP,18,Completed,Mobile App,Yes,1,Travel,"35.6895,139.6917"
109,164039,Deposit,8069.03474613726,2023-04-19 00:00:00,268,GBP,8,Completed,Online Banking,Yes,0,Salary,"40.7128,-74.0060"
110,479052,Withdrawal,4061.14949612937,2023-04-20 00:00:00,93,GBP,22,Completed,ATM,Yes,2.5,Cash Withdrawal,"-33.8688,151.2093"
111,591704,Payment,7949.7452197837,2023-04-21 00:00:00,291,JPY,6,Completed,Mobile App,No,1,,"35.6895,139.6917"
112,160085,Transfer,1410.72509318515,2023-04-22 00:00:00,145,EUR,13,Pending,Mobile App,Yes,1,Loan Payment,"51.5074,-0.1278"
113,560576,Payment,,2023-04-23 00:00:00,175,USD,7,Completed,POS,,1.5,Travel,"51.5074,-0.1278"
114,511482,Transfer,8060.96003121532,2023-04-24 00:00:00,178,GBP,17,Completed,Mobile App,No,1,Loan Payment,"51.5074,-0.1278"
115,631617,Withdrawal,6866.58869580899,2023-04-25 00:00:00,423,,20,Completed,ATM,No,2.5,Cash Withdrawal,"52.5200,13.4050"
116,720795,Payment,4842.99040090992,2023-04-26 00:00:00,478,GBP,4,Completed,Mobile App,No,1,Shopping,"51.5074,-0.1278"
117,491233,Transfer,4862.80364001114,2023-04-27 00:00:00,308,JPY,16,Completed,,Yes,0,Loan Payment,"52.5200,13.4050"
118,546811,Transfer,3313.91304772206,2023-04-28 00:00:00,275,USD,23,Completed,,Yes,0,Loan Payment,"52.5200,13.4050"
119,664674,Transfer,8885.08673958646,2023-04-29 00:00:00,181,GBP,7,Completed,Online Banking,,0,Loan Payment,"40.7128,-74.0060"
120,251672,,2432.29186362096,2023-04-30 00:00:00,60,USD,4,Completed,ATM,No,2.5,Loan Payment,"40.7128,-74.0060"
121,508418,Deposit,3742.54567145623,2023-05-01 00:00:00,412,EUR,4,Completed,Branch,Yes,5,,"51.5074,-0.1278"
122,254514,Transfer,1660.97893047611,2023-05-02 00:00:00,453,JPY,12,,Branch,Yes,5,,"-33.8688,151.2093"
123,860035,Payment,5037.65665020784,2023-05-03 00:00:00,295,USD,2,Completed,Mobile App,Yes,1,Travel,"51.5074,-0.1278"
124,163107,Deposit,7614.2194594503,2023-05-04 00:00:00,33,GBP,16,Completed,Online Banking,Yes,,Salary,"35.6895,139.6917"
125,306082,Payment,2632.93288099508,2023-05-05 00:00:00,134,EUR,3,Completed,POS,Yes,,Utility,"51.5074,-0.1278"
126,327017,Transfer,6265.16824679547,2023-05-06 00:00:00,229,JPY,10,Completed,Branch,Yes,5,Loan Payment,"40.7128,-74.0060"
127,795109,Deposit,6322.47147044368,2023-05-07 00:00:00,414,USD,3,Completed,Online Banking,Yes,0,Salary,"35.6895,139.6917"
128,278036,Deposit,9704.28201308761,2023-05-08 00:00:00,224,USD,11,Completed,Online Banking,Yes,0,Salary,"52.5200,13.4050"
129,952259,Withdrawal,7571.26722077182,2023-05-09 00:00:00,70,JPY,18,Completed,ATM,Yes,2.5,Cash Withdrawal,"40.7128,-74.0060"
130,152568,Payment,4759.83588657439,2023-05-10 00:00:00,485,EUR,23,Completed,Mobile App,Yes,,Utility,"-33.8688,151.2093"
131,830129,Withdrawal,1373.55646237079,2023-05-11 00:00:00,18,EUR,18,Completed,ATM,Yes,2.5,Cash Withdrawal,"-33.8688,151.2093"
132,340533,Payment,279.548779845671,2023-05-12 00:00:00,487,USD,18,Completed,Mobile App,Yes,1,Travel,"52.5200,13.4050"
133,473801,Deposit,1629.36740706451,2023-05-13 00:00:00,136,GBP,8,Completed,Online Banking,Yes,0,Salary,"35.6895,139.6917"
134,972463,Transfer,8033.0782555827,2023-05-14 00:00:00,294,USD,9,Completed,Mobile App,Yes,1,Loan Payment,"35.6895,139.6917"
135,771011,Transfer,8230.23213390943,2023-05-15 00:00:00,162,USD,12,Completed,Branch,Yes,5,Loan Payment,"51.5074,-0.1278"
136,679169,Payment,3177.03369323602,2023-05-16 00:00:00,331,GBP,22,Completed,Mobile App,Yes,1,Utility,"52.5200,13.4050"
137,539827,Deposit,6746.82872849744,2023-05-17 00:00:00,32,EUR,17,Completed,Branch,No,5,Salary,"52.5200,13.4050"
138,995615,Payment,3121.73903371232,2023-05-18 00:00:00,280,EUR,3,Completed,Mobile App,Yes,1,Shopping,"51.5074,-0.1278"
139,393230,,3695.29264052945,2023-05-19 00:00:00,429,EUR,21,Completed,ATM,Yes,,Loan Payment,"35.6895,139.6917"
140,257222,Withdrawal,3191.7844657174,2023-05-20 00:00:00,57,EUR,13,Completed,ATM,Yes,2.5,Cash Withdrawal,"-33.8688,151.2093"
141,309277,Withdrawal,2884.11340587987,2023-05-21 00:00:00,324,JPY,22,Completed,ATM,Yes,2.5,Cash Withdrawal,"-33.8688,151.2093"
142,705974,,8608.22636704414,2023-05-22 00:00:00,81,GBP,3,Completed,POS,Yes,1.5,Loan Payment,"40.7128,-74.0060"
143,439467,Deposit,3945.0128602094,2023-05-23 00:00:00,3,JPY,10,Completed,Online Banking,Yes,0,Salary,"-33.8688,151.2093"
144,390421,Transfer,6864.73194048898,2023-05-24 00:00:00,405,JPY,11,Completed,POS,No,,Loan Payment,"35.6895,139.6917"
145,105468,Payment,5783.72545910857,2023-05-25 00:00:00,18,EUR,3,Completed,Mobile App,Yes,1,Utility,"40.7128,-74.0060"
146,575899,Transfer,,2023-05-26 00:00:00,371,USD,14,Completed,Mobile App,Yes,1,,"35.6895,139.6917"
147,553637,Transfer,8664.44053433656,2023-05-27 00:00:00,441,GBP,5,Completed,ATM,Yes,2.5,Loan Payment,"-33.8688,151.2093"
148,857976,Transfer,8963.97785138207,2023-05-28 00:00:00,12,GBP,2,Completed,Mobile App,Yes,1,Loan Payment,"52.5200,13.4050"
149,697263,Transfer,8229.47105080212,2023-05-29 00:00:00,166,USD,5,Completed,Branch,Yes,5,Loan Payment,"51.5074,-0.1278"
150,755110,Payment,1917.61190986142,2023-05-30 00:00:00,310,EUR,15,Completed,POS,No,1.5,Utility,"52.5200,13.4050"
151,248540,Payment,450.392208802447,2023-05-31 00:00:00,17,GBP,8,Completed,Mobile App,Yes,1,Travel,"40.7128,-74.0060"
152,581771,Transfer,5307.32996674038,2023-06-01 00:00:00,285,EUR,22,Completed,Branch,Yes,5,Loan Payment,"-33.8688,151.2093"
153,825566,Deposit,1339.20597525387,2023-06-02 00:00:00,336,GBP,15,Reversed,Online Banking,Yes,0,Salary,"-33.8688,151.2093"
154,637522,,1974.29223351416,2023-06-03 00:00:00,22,GBP,8,Completed,POS,Yes,1.5,Loan Payment,"40.7128,-74.0060"
155,290741,Deposit,933.783278740643,2023-06-04 00:00:00,210,JPY,17,Completed,Online Banking,No,0,Salary,"35.6895,139.6917"
156,944863,Transfer,7494.68144870144,2023-06-05 00:00:00,339,USD,4,Completed,ATM,Yes,2.5,Loan Payment,"52.5200,13.4050"
157,500508,Payment,9105.96489325365,2023-06-06 00:00:00,137,USD,13,Completed,POS,Yes,1.5,Utility,"52.5200,13.4050"
158,197475,Payment,9685.32879859949,2023-06-07 00:00:00,392,JPY,23,Completed,Mobile App,Yes,1,Travel,"51.5074,-0.1278"
159,742143,Deposit,5750.95999848929,2023-06-08 00:00:00,41,USD,22,Completed,Online Banking,No,0,Salary,"40.7128,-74.0060"
160,474083,Deposit,9096.32919762892,2023-06-09 00:00:00,396,EUR,6,,Online Banking,Yes,0,Salary,"-33.8688,151.2093"
161,422971,,6065.53642938895,2023-06-10 00:00:00,106,JPY,21,Completed,POS,Yes,1.5,Loan Payment,"-33.8688,151.2093"
162,140388,Payment,8709.35040814726,2023-06-11 00:00:00,297,EUR,4,Failed,Mobile App,Yes,1,Utility,"40.7128,-74.0060"
163,130174,Withdrawal,4117.20505941027,2023-06-12 00:00:00,410,JPY,23,Pending,ATM,Yes,2.5,Cash Withdrawal,"51.5074,-0.1278"
164,320218,Payment,9845.75809200746,2023-06-13 00:00:00,332,GBP,12,Failed,POS,Yes,1.5,Travel,"35.6895,139.6917"
165,664844,Withdrawal,5829.59598715898,2023-06-14 00:00:00,479,USD,22,Completed,ATM,Yes,2.5,Cash Withdrawal,"35.6895,139.6917"
166,380815,Withdrawal,7310.18949661022,2023-06-15 00:00:00,402,GBP,9,Completed,ATM,No,2.5,Cash Withdrawal,"51.5074,-0.1278"
167,566565,Withdrawal,5175.82846231579,2023-06-16 00:00:00,271,EUR,21,Completed,ATM,Yes,2.5,Cash Withdrawal,"51.5074,-0.1278"
168,487972,Deposit,3293.48867556397,2023-06-17 00:00:00,52,USD,13,Completed,Online Banking,No,0,Salary,"40.7128,-74.0060"
169,670220,Payment,5900.60673129885,2023-06-18 00:00:00,37,USD,11,Completed,POS,Yes,1.5,Shopping,"35.6895,139.6917"
170,199241,Deposit,3295.46092082434,2023-06-19 00:00:00,250,GBP,11,Completed,Branch,Yes,5,Salary,"-33.8688,151.2093"
171,438736,Payment,3377.73651715332,2023-06-20 00:00:00,204,USD,13,Completed,POS,Yes,,Utility,"51.5074,-0.1278"
172,364822,Transfer,6680.24471902193,2023-06-21 00:00:00,159,GBP,6,Completed,POS,Yes,1.5,Loan Payment,"-33.8688,151.2093"
173,398757,Deposit,1445.0563632379,2023-06-22 00:00:00,28,USD,1,Completed,Branch,No,5,Salary,"40.7128,-74.0060"
174,485394,Payment,157.531623708981,2023-06-23 00:00:00,427,USD,7,Completed,POS,Yes,1.5,Utility,"35.6895,139.6917"
175,626497,Deposit,398.210192756547,2023-06-24 00:00:00,23,EUR,4,Completed,Online Banking,No,0,Salary,"52.5200,13.4050"
176,424660,Withdrawal,8714.27604111218,2023-06-25 00:00:00,15,JPY,12,Completed,ATM,Yes,2.5,Cash Withdrawal,"51.5074,-0.1278"
177,717314,Transfer,4692.20489056147,2023-06-26 00:00:00,404,USD,3,Completed,Online Banking,Yes,0,Loan Payment,"-33.8688,151.2093"
178,243295,Payment,965.712371735548,2023-06-27 00:00:00,99,JPY,18,,Mobile App,Yes,1,Travel,"52.5200,13.4050"
179,231592,Payment,5448.72119515303,2023-06-28 00:00:00,147,EUR,3,Completed,POS,Yes,1.5,Travel,"40.7128,-74.0060"
180,341941,Transfer,8810.85087315041,2023-06-29 00:00:00,144,GBP,5,Completed,ATM,No,2.5,Loan Payment,"51.5074,-0.1278"
181,743198,Payment,712.369794421632,2023-06-30 00:00:00,495,GBP,4,Completed,POS,Yes,1.5,Travel,"-33.8688,151.2093"
182,854690,Payment,374.795473054343,2023-07-01 00:00:00,287,USD,4,Completed,POS,Yes,1.5,Utility,"-33.8688,151.2093"
183,669707,Transfer,3826.36847114753,2023-07-02 00:00:00,456,GBP,6,Reversed,Mobile App,Yes,1,Loan Payment,"-33.8688,151.2093"
184,385921,Transfer,4622.85997410322,2023-07-03 00:00:00,111,GBP,12,Completed,Branch,Yes,5,Loan Payment,"-33.8688,151.2093"
185,713728,Deposit,5504.59781945159,2023-07-04 00:00:00,50,JPY,21,Completed,Branch,Yes,5,Salary,"51.5074,-0.1278"
186,315254,Deposit,734.352003410601,2023-07-05 00:00:00,129,USD,12,Completed,Branch,Yes,5,Salary,"-33.8688,151.2093"
187,664775,Withdrawal,4926.98478588707,2023-07-06 00:00:00,146,EUR,16,Completed,ATM,No,2.5,Cash Withdrawal,"52.5200,13.4050"
188,509971,Deposit,4750.23950912109,2023-07-07 00:00:00,197,USD,1,Completed,Branch,No,5,,"40.7128,-74.0060"
189,990289,Payment,4278.07316588863,2023-07-08 00:00:00,90,-999,15,Completed,POS,Yes,1.5,Shopping,"-33.8688,151.2093"
190,333602,,6409.01978428339,2023-07-09 00:00:00,315,USD,1,Completed,POS,Yes,1.5,Loan Payment,"51.5074,-0.1278"
191,455743,Transfer,3394.91769739502,2023-07-10 00:00:00,497,USD,12,Completed,Online Banking,Yes,0,Loan Payment,"51.5074,-0.1278"
192,697456,Payment,6840.0437575513,2023-07-11 00:00:00,386,EUR,18,Completed,POS,Yes,1.5,Utility,"40.7128,-74.0060"
193,612423,Payment,7524.18193497352,2023-07-12 00:00:00,418,GBP,10,Completed,POS,Yes,1.5,Travel,"-33.8688,151.2093"
194,612737,Withdrawal,3285.52277449838,2023-07-13 00:00:00,265,GBP,8,Completed,ATM,Yes,2.5,Cash Withdrawal,"35.6895,139.6917"
