AccountNumber,AccountHolder,AccountType,Balance,InterestRate,CreditScore,OpeningDate,LoanAmount,AccountHolderDetails
109915,Sarah Miller,Savings,27291.1482091248,2.50892260934978,464,2020-02-14 00:00:00,21878.0719026092,"Sector: Finance, Residence: 10 years, City: Berlin"
924918,Jennifer Davis,Savings,,2.31446495398413,721,2020-02-15 00:00:00,9128.45441843807,"Sector: Finance, Residence: 15 years, City: New York"
401469,William Martin,Savings,,2.16981722048005,361,2020-02-16 00:00:00,22640.0594778674,"Sector: Education, Residence: 20 years, City: Tokyo"
595592,David Williams,Credit,20956.3849638234,4.87416818540506,423,2020-02-17 00:00:00,37508.250284617,"Sector: Healthcare, Residence: 13 years, City: London"
235933,Jennifer Rodriguez,Loan,31049.2030369515,3.67687768724489,774,2020-02-18 00:00:00,9538.32582573112,"Sector: Technology, Residence: 18 years, City: Sydney"
366098,Linda Garcia,Credit,47770.7332332087,2.4057731011674,497,2020-02-19 00:00:00,49543.3164299473,"Sector: Education, Residence: 2 years, City: Tokyo"
610886,Patricia Moore,Checking,30039.6382226165,0.783201935809014,330,2020-02-20 00:00:00,48765.8734742784,"Sector: Finance, Residence: 7 years, City: Tokyo"
936946,James Smith,Savings,46025.2073668865,2.69892675030789,319,2020-02-21 00:00:00,23154.3801312533,"Sector: Healthcare, Residence: 7 years, City: Sydney"
766730,Michael Hernandez,Loan,42983.4824764321,2.17312068381114,638,2020-02-22 00:00:00,24185.2844059003,"Sector: Retail, Residence: 7 years, City: London"
648500,Linda Wilson,Loan,26064.2115463884,0.792749371456818,518,2020-02-23 00:00:00,9048.49576939357,"Sector: Education, Residence: 18 years, City: Berlin"
926054,Thomas Brown,Credit,31413.1583544332,3.0627263134376,439,2020-02-24 00:00:00,49797.1552512962,"Sector: Healthcare, Residence: 15 years, City: Sydney"
107588,Jessica Jackson,Loan,5558.32327005151,2.12877167595807,521,2020-02-25 00:00:00,39786.20959561,"Sector: Healthcare, Residence: 3 years, City: Sydney"
377515,Karen Wilson,Loan,15140.7610251925,2.23283072732895,665,2020-02-26 00:00:00,37738.6671000613,"Sector: Finance, Residence: 17 years, City: Tokyo"
485494,James Anderson,Credit,40216.5754517104,4.18133412793448,848,2020-02-27 00:00:00,14300.7387041941,"Sector: Education, Residence: 8 years, City: Berlin"
761994,Sarah Williams,Credit,26565.6536938512,1.54961212436183,403,2020-02-28 00:00:00,18536.4790077627,"Sector: Finance, Residence: 3 years, City: London"
369204,Michael Jones,Checking,2226.62170964708,,797,2020-02-29 00:00:00,32845.4288956119,"Sector: Education, Residence: 7 years, City: Tokyo"
711487,Charles Williams,Checking,33733.8767651383,1.18366194857602,755,2020-03-01 00:00:00,47613.2442097352,"Sector: Education, Residence: 19 years, City: New York"
613253,Mary Smith,Credit,4429.08147667688,4.06691703142162,455,2020-03-02 00:00:00,41800.8184787932,"Sector: Education, Residence: 13 years, City: Tokyo"
801052,Charles Johnson,Credit,5516.95258239585,2.94754190667417,348,2020-03-03 00:00:00,39426.2201738624,"Sector: Healthcare, Residence: 4 years, City: Berlin"
600157,Elizabeth Moore,Savings,40124.9528233948,0.551128340816998,503,2020-03-04 00:00:00,5585.0585603215,"Sector: Technology, Residence: 15 years, City: New York"
218804,,Checking,36406.8590393039,3.22275747799737,843,2020-03-05 00:00:00,11031.8799995885,"Sector: Retail, Residence: 20 years, City: Sydney"
834035,Michael Miller,Credit,12585.9920382092,1.04722419298013,528,2020-03-06 00:00:00,42853.7264238078,"Sector: Healthcare, Residence: 5 years, City: Sydney"
871727,James Smith,Credit,40066.1091212381,3.72743293939308,381,2020-03-07 00:00:00,6440.79187460948,"Sector: Retail, Residence: 1 years, City: New York"
930814,Robert Lopez,Loan,41227.3799610127,0.599642892505173,796,2020-03-08 00:00:00,12266.8734939003,"Sector: Technology, Residence: 16 years, City: London"
319021,Elizabeth Anderson,Loan,35457.1421054185,2.82097862955255,673,2020-03-09 00:00:00,26704.9623477835,"Sector: Retail, Residence: 6 years, City: Tokyo"
489292,Michael Wilson,Loan,27249.9280983373,1.23037424725371,469,2020-03-10 00:00:00,46531.911810045,"Sector: Retail, Residence: 5 years, City: Berlin"
250484,John Martin,Checking,27978.6206924285,2.30474668218024,801,2020-03-11 00:00:00,10793.1388205032,"Sector: Technology, Residence: 7 years, City: Sydney"
547257,Patricia Miller,Credit,35737.7506048754,4.34441871348782,343,2020-03-12 00:00:00,10997.9853439199,"Sector: Technology, Residence: 15 years, City: Berlin"
730378,,Checking,11244.1829014251,1.26872059057131,311,2020-03-13 00:00:00,14869.6952702411,"Sector: Education, Residence: 11 years, City: Sydney"
925299,,Savings,37003.7754668603,1.01654490315668,503,2020-03-14 00:00:00,31681.3082013136,"Sector: Technology, Residence: 20 years, City: Tokyo"
752678,Barbara Anderson,Credit,32460.3682328381,2.62827468613328,821,2020-03-15 00:00:00,32446.9820379683,"Sector: Finance, Residence: 8 years, City: Tokyo"
794774,Michael Taylor,Loan,44989.9128507082,3.84912988395585,568,2020-03-16 00:00:00,19268.4076702123,"Sector: Finance, Residence: 16 years, City: Berlin"
124845,Elizabeth Moore,Credit,5346.81336314043,1.48364150691492,797,2020-03-17 00:00:00,11474.5095350531,"Sector: Healthcare, Residence: 6 years, City: Sydney"
820202,Charles Anderson,Credit,17986.0416399184,3.68869761704637,830,2020-03-18 00:00:00,18179.6367368237,"Sector: Education, Residence: 9 years, City: Tokyo"
733075,Michael Hernandez,Credit,31907.6993302311,4.66412429526435,567,2020-03-19 00:00:00,37710.3845130638,"Sector: Finance, Residence: 11 years, City: Sydney"
273481,John Garcia,Savings,,4.27997978483335,621,2020-03-20 00:00:00,9891.22025406585,"Sector: Technology, Residence: 7 years, City: Berlin"
478475,William Garcia,Savings,26428.2593914479,4.01010029527382,824,2020-03-21 00:00:00,40951.7877954456,"Sector: Technology, Residence: 4 years, City: Berlin"
413035,Jessica Thomas,Loan,15366.2239051728,1.69462763863138,375,2020-03-22 00:00:00,25676.0454097274,"Sector: Healthcare, Residence: 20 years, City: Tokyo"
859997,Jennifer Taylor,Credit,16458.1101021969,2.03197377773437,315,2020-03-23 00:00:00,7742.33666510108,"Sector: Technology, Residence: 10 years, City: Sydney"
422499,John Smith,Checking,3112.47301164985,4.48043416941364,530,2020-03-24 00:00:00,30460.1292046581,"Sector: Education, Residence: 3 years, City: Tokyo"
488440,Mary Garcia,Savings,39151.4332442812,1.97178885280437,641,2020-03-25 00:00:00,49712.3095820295,"Sector: Healthcare, Residence: 16 years, City: Sydney"
879077,Joseph Williams,Savings,47361.7297592338,4.34657133628084,728,2020-03-26 00:00:00,14897.7356314079,"Sector: Finance, Residence: 12 years, City: Berlin"
522275,Mary Anderson,Savings,27853.7199928307,2.25165608487904,808,2020-03-27 00:00:00,7309.61282735657,"Sector: Finance, Residence: 2 years, City: New York"
841566,Joseph Johnson,Credit,9164.6639328388,2.90783065403704,383,2020-03-28 00:00:00,26867.0754743813,"Sector: Technology, Residence: 8 years, City: Berlin"
182086,Barbara Brown,Credit,25466.9807152796,1.43981100171564,348,2020-03-29 00:00:00,26367.4825254368,"Sector: Education, Residence: 1 years, City: Berlin"
282848,Jennifer Anderson,Loan,5018.01518973875,1.87531710328426,693,2020-03-30 00:00:00,29712.6381746605,"Sector: Retail, Residence: 18 years, City: Berlin"
555445,Sarah Taylor,Loan,1653.01583585826,0.636251205932136,732,2020-03-31 00:00:00,30104.3593869668,"Sector: Technology, Residence: 6 years, City: Berlin"
808573,John Garcia,Checking,14232.2920323677,1.4594758955311,396,2020-04-01 00:00:00,39062.8004024696,"Sector: Finance, Residence: 10 years, City: London"
933728,John Williams,Savings,45634.6181364237,3.30226765053147,612,2020-04-02 00:00:00,24648.7368653545,"Sector: Technology, Residence: 7 years, City: Berlin"
583223,Susan Miller,Loan,48380.2579622143,1.20924989440858,527,2020-04-03 00:00:00,5511.80927090317,"Sector: Finance, Residence: 12 years, City: Tokyo"
100268,Patricia Martinez,Checking,1295.10687208216,4.47712150332653,349,2020-04-04 00:00:00,25554.6165383553,"Sector: Retail, Residence: 17 years, City: New York"
232531,Elizabeth Davis,Credit,30779.9433636943,1.29788205795743,502,2020-04-05 00:00:00,28006.88066816,"Sector: Retail, Residence: 17 years, City: Tokyo"
545627,Linda Lopez,Savings,34416.7787881248,2.25824531245347,653,2020-04-06 00:00:00,49299.9696577268,"Sector: Technology, Residence: 8 years, City: Sydney"
109474,Richard Rodriguez,Loan,7408.18290266481,3.00020048049712,811,2020-04-07 00:00:00,24305.9394325888,"Sector: Healthcare, Residence: 19 years, City: New York"
992035,James Taylor,Loan,43223.6895610169,1.18358650454362,327,2020-04-08 00:00:00,9663.27510640988,"Sector: Technology, Residence: 19 years, City: New York"
168462,Linda Anderson,Checking,24682.3814132111,1.14854812143192,686,2020-04-09 00:00:00,17969.221378187,"Sector: Education, Residence: 13 years, City: Tokyo"
536128,Michael Johnson,Savings,,2.13199082225741,498,2020-04-10 00:00:00,33466.9102578857,"Sector: Healthcare, Residence: 20 years, City: Berlin"
842559,Michael Anderson,Checking,,1.05032043244583,448,2020-04-11 00:00:00,25056.6553405991,"Sector: Education, Residence: 17 years, City: London"
875193,Robert Davis,Checking,38642.9323910948,4.9505985191006,818,2020-04-12 00:00:00,33236.4130366997,"Sector: Retail, Residence: 12 years, City: Sydney"
803319,John Thomas,Savings,16760.5795506553,1.23044921983828,748,2020-04-13 00:00:00,42417.7262326925,"Sector: Technology, Residence: 19 years, City: London"
102194,Linda Smith,Credit,28165.8109727107,1.116116297541,347,2020-04-14 00:00:00,5523.35017642181,"Sector: Education, Residence: 12 years, City: Tokyo"
246136,Charles Williams,Savings,16316.1446866866,3.49730593800682,470,2020-04-15 00:00:00,35458.7099835372,"Sector: Education, Residence: 5 years, City: Berlin"
640162,John Anderson,Checking,18674.8982586197,2.99200004990437,307,2020-04-16 00:00:00,20589.9609273944,"Sector: Finance, Residence: 12 years, City: Tokyo"
474054,William Rodriguez,Savings,,3.74066608823648,785,2020-04-17 00:00:00,45244.4254191313,"Sector: Healthcare, Residence: 6 years, City: Tokyo"
164039,Susan Lopez,Loan,34574.4896323718,3.27890551331631,771,2020-04-18 00:00:00,19571.8585608033,"Sector: Finance, Residence: 1 years, City: New York"
479052,John Smith,Checking,16516.9655473821,4.49198131271395,480,2020-04-19 00:00:00,11429.9164261139,"Sector: Education, Residence: 5 years, City: Sydney"
591704,Barbara Davis,Savings,27774.0852644502,2.92032232062679,808,2020-04-20 00:00:00,36483.716180122,"Sector: Technology, Residence: 20 years, City: Tokyo"
160085,Jennifer Garcia,Savings,33595.9713056801,4.76741169426368,561,2020-04-21 00:00:00,40357.3897359472,"Sector: Healthcare, Residence: 1 years, City: London"
560576,Thomas Martin,Credit,26625.5415715473,3.57191957116039,616,2020-04-22 00:00:00,14591.5066358699,"Sector: Finance, Residence: 18 years, City: London"
511482,Susan Martin,Savings,13851.9915744545,1.61045803176278,760,2020-04-23 00:00:00,33279.6979754272,"Sector: Education, Residence: 10 years, City: London"
631617,Richard Davis,Savings,4249.04882836864,2.29194125477478,780,2020-04-24 00:00:00,26867.7838997102,"Sector: Retail, Residence: 10 years, City: Berlin"
720795,Michael Miller,Checking,5438.77164633156,3.22756696567514,836,2020-04-25 00:00:00,26528.0100211366,"Sector: Retail, Residence: 8 years, City: London"
491233,Michael Taylor,Credit,40845.6937206313,1.41292563027734,666,2020-04-26 00:00:00,11535.7398503133,"Sector: Technology, Residence: 8 years, City: Berlin"
546811,Sarah Davis,Checking,18996.6601513213,3.08439266137184,718,2020-04-27 00:00:00,22913.1339094203,"Sector: Education, Residence: 8 years, City: Berlin"
664674,Elizabeth Martin,Credit,22083.8960359412,2.62954810143943,758,2020-04-28 00:00:00,11306.5228065882,"Sector: Finance, Residence: 7 years, City: New York"
251672,Susan Martin,Loan,29763.4258132828,0.630676209765179,545,2020-04-29 00:00:00,27376.4721183696,"Sector: Technology, Residence: 13 years, City: New York"
508418,Richard Martinez,Credit,34060.812897822,2.02279856154303,796,2020-04-30 00:00:00,19829.3535404691,"Sector: Retail, Residence: 6 years, City: London"
254514,James Smith,Loan,20202.4828606377,2.80223585768962,505,2020-05-01 00:00:00,23934.7693212674,"Sector: Healthcare, Residence: 18 years, City: Sydney"
860035,Richard Smith,Loan,6037.59381055176,1.93414857210555,729,2020-05-02 00:00:00,36425.0350895037,"Sector: Education, Residence: 16 years, City: London"
163107,Richard Garcia,Savings,19002.3229788493,4.51722072441976,730,2020-05-03 00:00:00,22686.826513271,"Sector: Healthcare, Residence: 5 years, City: Tokyo"
306082,Thomas Jackson,Loan,25641.3168977496,4.40894135367157,606,2020-05-04 00:00:00,7802.00508931717,"Sector: Healthcare, Residence: 14 years, City: London"
327017,Mary Garcia,Checking,38151.1927550192,1.79192774552489,460,2020-05-05 00:00:00,27355.7719462195,"Sector: Retail, Residence: 4 years, City: New York"
795109,Thomas Anderson,Loan,4398.62551053344,2.61652590052107,735,2020-05-06 00:00:00,7606.65781668381,"Sector: Education, Residence: 4 years, City: Tokyo"
278036,Richard Martinez,Savings,22951.332376018,0.844552751945205,483,2020-05-07 00:00:00,23068.3789395163,"Sector: Healthcare, Residence: 7 years, City: Berlin"
952259,David Martinez,Savings,30820.4435611026,3.85027803519208,704,2020-05-08 00:00:00,29979.3749581916,"Sector: Finance, Residence: 2 years, City: New York"
152568,Linda Thomas,Credit,,2.76585175356578,849,2020-05-09 00:00:00,41177.9809898494,"Sector: Education, Residence: 2 years, City: Sydney"
830129,Thomas Brown,Savings,21543.6783028737,1.68022126255962,370,2020-05-10 00:00:00,18936.6055169162,"Sector: Education, Residence: 1 years, City: Sydney"
340533,Karen Anderson,Checking,19702.7601787238,2.47907236417752,652,2020-05-11 00:00:00,34728.3350855716,"Sector: Education, Residence: 4 years, City: Berlin"
473801,Linda Rodriguez,Credit,33780.0842164216,2.58891476704247,737,2020-05-12 00:00:00,40222.0087592147,"Sector: Retail, Residence: 10 years, City: Tokyo"
972463,Patricia Brown,Loan,,1.20274144352542,686,2020-05-13 00:00:00,31485.7854677807,"Sector: Education, Residence: 3 years, City: Tokyo"
771011,Michael Moore,Credit,7735.94232819021,1.40659967754879,555,2020-05-14 00:00:00,45248.0105423099,"Sector: Retail, Residence: 1 years, City: London"
679169,Richard Smith,Checking,39472.655293787,2.91978991866298,817,2020-05-15 00:00:00,43403.1688998031,"Sector: Retail, Residence: 6 years, City: Berlin"
539827,Jessica Moore,Checking,30900.7122612342,3.6056392216202,779,2020-05-16 00:00:00,24748.015105104,"Sector: Healthcare, Residence: 19 years, City: Berlin"
995615,Sarah Wilson,Savings,11212.3038306904,0.559856198424537,779,2020-05-17 00:00:00,11009.6569566917,"Sector: Retail, Residence: 12 years, City: London"
393230,Richard Jones,Loan,27956.6729855262,4.70934111469789,424,2020-05-18 00:00:00,29413.6371392161,"Sector: Retail, Residence: 17 years, City: Tokyo"
257222,Mary Williams,Savings,9678.09493195492,2.28593953702687,839,2020-05-19 00:00:00,8430.19614900998,"Sector: Healthcare, Residence: 2 years, City: Sydney"
309277,Mary Garcia,Checking,41462.7926278684,3.09239635938282,317,2020-05-20 00:00:00,23216.3665552778,"Sector: Retail, Residence: 5 years, City: Sydney"
705974,Jennifer Anderson,Savings,47715.963350601,1.80254113723953,407,2020-05-21 00:00:00,19574.9412481552,"Sector: Healthcare, Residence: 12 years, City: New York"
439467,Thomas Jackson,Loan,11946.4360230544,2.55932546113884,415,2020-05-22 00:00:00,26898.7351588816,"Sector: Education, Residence: 1 years, City: Sydney"
390421,Susan Hernandez,Savings,28572.0290295937,4.0340934106861,518,2020-05-23 00:00:00,21406.2426211966,"Sector: Retail, Residence: 9 years, City: Tokyo"
105468,Charles Brown,Savings,39282.2755883404,1.39945963986199,567,2020-05-24 00:00:00,28100.4580158582,"Sector: Retail, Residence: 13 years, City: New York"
575899,Mary Jones,Loan,43733.764147944,-999,571,2020-05-25 00:00:00,39177.5274596042,"Sector: Finance, Residence: 20 years, City: Tokyo"
553637,Susan Martinez,Savings,13747.6033024966,1.50799115561686,799,2020-05-26 00:00:00,30971.9931251814,"Sector: Retail, Residence: 6 years, City: Sydney"
857976,Richard Gonzalez,Credit,49567.2603138161,3.77664660556684,672,2020-05-27 00:00:00,39321.6410800472,"Sector: Finance, Residence: 2 years, City: Berlin"
697263,Robert Gonzalez,Savings,,4.20064625341023,311,2020-05-28 00:00:00,49427.1074495355,"Sector: Finance, Residence: 8 years, City: London"
755110,Joseph Gonzalez,Credit,17277.0380362984,2.85111453950452,737,2020-05-29 00:00:00,17047.6638984621,"Sector: Finance, Residence: 6 years, City: Berlin"
248540,Mary Taylor,Checking,44294.3390394183,3.50296196154759,644,2020-05-30 00:00:00,12879.0946934808,"Sector: Retail, Residence: 3 years, City: New York"
581771,Robert Jones,Credit,33718.1714418388,3.54044863843435,314,2020-05-31 00:00:00,5443.59512402019,"Sector: Finance, Residence: 6 years, City: Sydney"
825566,Karen Jackson,Credit,34656.1389843888,1.7318528065398,575,2020-06-01 00:00:00,37443.1596903227,"Sector: Healthcare, Residence: 12 years, City: Sydney"
637522,Mary Martin,Savings,41501.7321136913,4.1125028524717,746,2020-06-02 00:00:00,29143.5835286522,"Sector: Healthcare, Residence: 3 years, City: New York"
290741,Patricia Garcia,Savings,40336.9938664493,4.65934077436231,611,2020-06-03 00:00:00,30534.2680555914,"Sector: Finance, Residence: 17 years, City: Tokyo"
944863,Elizabeth Wilson,Savings,47800.52814867,0.681941286831703,746,2020-06-04 00:00:00,40774.3311234336,"Sector: Education, Residence: 3 years, City: Berlin"
500508,Richard Brown,Credit,19587.9094531652,1.73896550458618,462,2020-06-05 00:00:00,36797.4843392204,"Sector: Education, Residence: 8 years, City: Berlin"
197475,Jessica Williams,Credit,33487.2859396126,4.58280163663302,370,2020-06-06 00:00:00,38482.9894502711,"Sector: Healthcare, Residence: 11 years, City: London"
742143,Charles Taylor,Loan,20494.9130094258,2.06964715534644,766,2020-06-07 00:00:00,6932.7621736871,"Sector: Healthcare, Residence: 16 years, City: New York"
474083,William Thomas,Loan,,0.969259911557485,490,2020-06-08 00:00:00,25458.48676514,"Sector: Healthcare, Residence: 2 years, City: Sydney"
422971,Thomas Thomas,Credit,11582.0621140366,4.6645431569361,584,2020-06-09 00:00:00,25835.4075839069,"Sector: Healthcare, Residence: 15 years, City: Sydney"
140388,Patricia Jackson,Loan,26414.3001082456,3.81044749903317,619,2020-06-10 00:00:00,7441.96261597512,"Sector: Retail, Residence: 18 years, City: New York"
130174,Joseph Taylor,Savings,31945.6829622137,0.840614052471456,326,2020-06-11 00:00:00,16159.0523821436,"Sector: Technology, Residence: 16 years, City: London"
320218,Thomas Martin,Credit,45648.4724197755,3.00338186420987,619,2020-06-12 00:00:00,19778.6536523217,"Sector: Technology, Residence: 3 years, City: Tokyo"
664844,Joseph Lopez,Savings,18383.8135950898,2.82484153802189,637,2020-06-13 00:00:00,45116.6639309308,"Sector: Retail, Residence: 4 years, City: Tokyo"
380815,Linda Taylor,Savings,16590.5076614795,0.621750393725602,591,2020-06-14 00:00:00,40290.1774293327,"Sector: Technology, Residence: 18 years, City: London"
566565,Mary Martinez,Savings,47131.6331022634,2.62883246327515,709,2020-06-15 00:00:00,9788.26153598722,"Sector: Retail, Residence: 8 years, City: London"
487972,John Jackson,Checking,32396.0204034523,4.33216651190127,830,2020-06-16 00:00:00,7877.02860159357,"Sector: Education, Residence: 16 years, City: New York"
670220,William Williams,Savings,29533.6099425196,1.97620241726751,758,2020-06-17 00:00:00,44030.8948706845,"Sector: Education, Residence: 15 years, City: Tokyo"
199241,Thomas Rodriguez,Loan,21303.7993441732,0.648547585138526,497,2020-06-18 00:00:00,16711.2120399363,"Sector: Retail, Residence: 20 years, City: Sydney"
438736,Karen Jackson,Savings,17385.0084251903,4.04094773652315,804,2020-06-19 00:00:00,31649.1162258058,"Sector: Healthcare, Residence: 19 years, City: London"
364822,Susan Gonzalez,Loan,49258.7593067944,4.89101621006261,491,2020-06-20 00:00:00,44636.4675239953,"Sector: Finance, Residence: 10 years, City: Sydney"
398757,Mary Martinez,Credit,,2.3718908535636,840,2020-06-21 00:00:00,19562.9300655398,"Sector: Technology, Residence: 9 years, City: New York"
485394,Thomas Gonzalez,Savings,13350.7173658742,3.7970105054908,556,2020-06-22 00:00:00,11370.2865624823,"Sector: Education, Residence: 20 years, City: Tokyo"
626497,Richard Jackson,Savings,15476.7008226539,1.50470337080751,383,2020-06-23 00:00:00,36734.1273394924,"Sector: Technology, Residence: 2 years, City: Berlin"
424660,Thomas Smith,Loan,32274.9493810065,2.39991356308689,536,2020-06-24 00:00:00,29367.0257543967,"Sector: Education, Residence: 20 years, City: London"
717314,William Miller,Checking,,1.79232696166548,645,2020-06-25 00:00:00,24410.6978234273,"Sector: Technology, Residence: 11 years, City: Sydney"
