TransactionID,AccountNumber,TransactionType,Amount,TransactionDate,BranchCode,Currency,TransactionStatus,Channel,Fees,GeoLocation
22,125124.0,Payment,4866.72,2020-07-16,23,AUD,Failed,Branch,3.63,"-33.8688,151.2093"
23,795889.0,Withdrawal,3783.95,2023-05-20,474,JPY,Failed,ATM,4.43,"40.7128,-74.006"
24,479868.0,Payment,7157.12,2022-10-20,434,USD,Completed,Branch,2.26,"40.7128,-74.006"
25,494191.0,Deposit,1375.37,2023-10-25,56,USD,Pending,POS,8.51,"40.7128,-74.006"
26,288509.0,Deposit,1038.47,2023-09-09,413,GBP,Pending,POS,,"51.5074,-0.1278"
27,579995.0,Deposit,1338.65,2021-03-17,457,USD,Completed,POS,,
28,481686.0,Withdrawal,7488.02,2020-01-09,389,EUR,Completed,ATM,9.79,"52.52,13.405"
29,528097.0,Payment,4634.14,2023-03-12,74,JPY,Failed,POS,0.38,"35.6895,139.6917"
30,167556.0,Transfer,5086.19,2020-07-19,394,EUR,Reversed,POS,0.61,"52.52,13.405"
31,686034.0,Transfer,3731.48,2022-02-27,231,SGD,Reversed,,0.7,"-33.9249,18.4241"
32,506632.0,Payment,4309.32,2024-12-27,340,EUR,Completed,POS,5.54,"52.52,13.405"
33,646592.0,Payment,6024.39,2019-03-10,8,JPY,Reversed,ATM,2.74,"35.6895,139.6917"
34,337008.0,Transfer,5154.85,2021-09-11,448,GBP,Completed,Mobile App,1.85,"-33.8688,151.2093"
35,937337.0,,6767.08,2023-12-30,247,AUD,Reversed,Online Banking,5.74,"-33.8688,151.2093"
36,950280.0,Deposit,5421.34,2019-11-18,265,USD,Pending,,9.73,"40.7128,-74.006"
37,907384.0,Withdrawal,7019.13,2020-11-17,184,EUR,Pending,Online Banking,0.88,"51.5074,-0.1278"
38,710890.0,Payment,3471.72,2023-05-25,22,GBP,Pending,Branch,0.47,"51.5074,-0.1278"
39,522554.0,Withdrawal,6348.1,2021-06-30,298,JPY,Pending,POS,7.11,"35.6895,139.6917"
40,394174.0,Payment,2234.72,2020-04-11,291,JPY,Completed,POS,2.63,"35.6895,139.6917"
41,192126.0,Transfer,4215.87,2023-02-10,391,AUD,Pending,Online Banking,0.2,"-33.8688,151.2093"
42,334892.0,Transfer,7609.29,2022-02-22,169,EUR,Reversed,Branch,,"52.52,13.405"
43,975629.0,Withdrawal,1419.95,2020-06-30,128,USD,Failed,Branch,7.19,"40.7128,-74.006"
44,197133.0,Payment,3946.79,2024-10-09,276,EUR,Completed,Mobile App,1.04,"52.52,13.405"
45,109915.0,Deposit,8398.38,2019-06-05,475,EUR,Completed,Branch,6.47,"52.52,13.405"
46,196177.0,Payment,2219.23,2024-07-23,355,USD,Failed,POS,3.34,"40.7128,-74.006"
47,401469.0,Transfer,9561.69,2020-12-18,155,JPY,Pending,POS,2.47,"35.6895,139.6917"
48,595592.0,Payment,7614.99,2024-06-21,167,GBP,Completed,Branch,8.13,"51.5074,-0.1278"
49,235933.0,Withdrawal,3063.16,2024-02-13,10,AUD,Failed,Online Banking,3.5,
50,366098.0,Payment,6665.22,2021-12-19,333,JPY,Failed,,2.23,
51,610886.0,Withdrawal,2799.55,2020-02-12,384,JPY,Failed,Online Banking,8.18,"35.6895,139.6917"
52,936946.0,Withdrawal,864.65,2023-06-21,166,AUD,Completed,POS,6.6,"-33.8688,151.2093"
53,766730.0,Deposit,2381.59,2023-12-28,368,GBP,Reversed,,4.2,"51.5074,-0.1278"
54,648500.0,Deposit,4700.34,2024-10-23,5,EUR,Completed,Branch,3.38,"52.52,13.405"
55,926054.0,Deposit,4105.3,2019-04-06,396,AUD,Reversed,Branch,8.12,"-33.8688,151.2093"
56,107588.0,Payment,8388.88,2020-03-16,14,AUD,Completed,ATM,9.09,"-33.8688,151.2093"
57,377515.0,Withdrawal,8923.07,2020-08-07,423,JPY,Completed,ATM,9.08,"35.6895,139.6917"
58,485494.0,Deposit,3639.73,2024-01-06,178,EUR,Completed,ATM,,"52.52,13.405"
59,761994.0,,6087.65,2024-10-07,330,USD,Completed,Online Banking,9.79,"51.5074,-0.1278"
60,369204.0,Withdrawal,3383.36,2019-05-04,335,JPY,Completed,Online Banking,7.89,"35.6895,139.6917"
61,711487.0,Deposit,9808.44,2023-01-15,119,USD,Failed,ATM,4.88,"40.7128,-74.006"
62,613253.0,Transfer,2404.03,2021-05-15,144,JPY,Failed,Online Banking,0.21,"25.276987,55.296249"
63,801052.0,Payment,5361.66,2024-04-07,246,EUR,Reversed,ATM,5.69,"52.52,13.405"
64,600157.0,Withdrawal,1593.57,2021-06-27,3,INR,Pending,POS,9.38,"40.7128,-74.006"
65,218804.0,Withdrawal,6579.87,2020-01-19,47,SGD,Reversed,Online Banking,7.78,"-33.8688,151.2093"
66,834035.0,Payment,5824.52,2021-09-14,78,AUD,Reversed,ATM,2.55,"-33.8688,151.2093"
67,871727.0,Deposit,7132.46,2021-03-22,77,USD,Pending,Online Banking,,"40.7128,-74.006"
68,930814.0,Deposit,5810.87,2020-06-02,447,GBP,Pending,ATM,8.86,"51.5074,-0.1278"
69,319021.0,Withdrawal,3341.78,2020-11-25,457,BRL,Completed,ATM,2.6,"35.6895,139.6917"
70,489292.0,Deposit,2152.83,2021-07-31,42,EUR,Completed,Online Banking,1.93,"52.52,13.405"
71,250484.0,Deposit,4355.52,2022-07-23,125,AUD,Completed,Online Banking,1.03,
72,547257.0,Transfer,3281.99,2024-11-30,167,BRL,Completed,Mobile App,4.38,"52.52,13.405"
73,650833.0,Transfer,5780.81,2020-07-19,169,AUD,Failed,ATM,6.36,"-33.8688,151.2093"
74,925299.0,Transfer,6269.52,2021-05-31,435,JPY,Pending,POS,1.55,"35.6895,139.6917"
75,752678.0,Transfer,9680.59,2023-03-27,469,JPY,Completed,Mobile App,9.98,"35.6895,139.6917"
76,794774.0,Transfer,9602.19,2023-03-10,416,EUR,Completed,,8.14,"52.52,13.405"
77,124845.0,Transfer,5599.63,2023-05-28,62,AUD,Failed,,6.69,
78,820202.0,Withdrawal,3972.94,2020-10-17,227,JPY,Failed,Online Banking,7.53,"35.6895,139.6917"
79,733075.0,Withdrawal,2870.64,2020-10-18,261,AUD,Pending,POS,9.7,"-33.8688,151.2093"
80,432511.0,Payment,7938.36,2023-06-25,358,EUR,Pending,Mobile App,0.37,"52.52,13.405"
81,478475.0,Transfer,1708.72,2024-10-21,130,EUR,Failed,Mobile App,6.28,"52.52,13.405"
82,809695.0,Transfer,2491.32,2023-03-07,95,USD,Pending,Online Banking,5.83,"35.6895,139.6917"
83,859997.0,Payment,9359.2,2021-11-13,494,EUR,Completed,ATM,3.72,"-33.8688,151.2093"
84,422499.0,Deposit,9386.12,2021-02-02,474,JPY,Pending,POS,1.73,"35.6895,139.6917"
85,488440.0,Transfer,5562.45,2023-12-31,127,AUD,Completed,POS,3.72,"-33.8688,151.2093"
86,879077.0,Deposit,523.47,2024-12-28,424,EUR,Completed,Mobile App,3.17,"52.52,13.405"
87,522275.0,Transfer,3266.35,2024-12-18,379,USD,Reversed,Mobile App,0.42,"40.7128,-74.006"
88,841566.0,Withdrawal,5885.72,2020-09-23,375,EUR,Reversed,Online Banking,0.12,"52.52,13.405"
89,182086.0,Payment,6140.72,2023-04-03,415,EUR,Completed,,5.95,"52.52,13.405"
90,282848.0,Withdrawal,6229.78,2023-07-02,111,EUR,Pending,,3.43,"52.52,13.405"
91,555445.0,Withdrawal,3457.67,2020-12-03,378,EUR,Reversed,Online Banking,4.94,"35.6895,139.6917"
92,156196.0,Payment,5822.29,2019-04-22,69,GBP,Reversed,Online Banking,3.05,"51.5074,-0.1278"
93,933728.0,Deposit,133.33,2023-02-28,334,EUR,Reversed,Online Banking,6.73,"52.52,13.405"
94,583223.0,Payment,9855.16,2021-04-30,113,JPY,Pending,ATM,4.91,"40.7128,-74.006"
95,710552.0,Transfer,5670.52,2023-05-04,398,USD,Pending,Branch,7.76,"40.7128,-74.006"
96,151212.0,Withdrawal,5037.33,2019-07-12,491,JPY,Completed,ATM,2.85,"35.6895,139.6917"
97,545627.0,Transfer,744.67,2022-09-02,163,AUD,Failed,ATM,1.36,"43.65107,-79.347015"
98,109474.0,Transfer,2932.26,2022-03-21,282,USD,Failed,ATM,9.07,"40.7128,-74.006"
99,992035.0,Withdrawal,799.87,2021-09-17,17,USD,Failed,POS,5.12,"40.7128,-74.006"
100,168462.0,Deposit,8153.03,2021-07-30,457,JPY,Reversed,Branch,9.28,"35.6895,139.6917"
101,536128.0,Deposit,7389.95,2021-09-09,269,EUR,Reversed,POS,5.72,"52.52,13.405"
102,842559.0,Deposit,1050.34,2022-09-25,7,GBP,Failed,Branch,8.39,"51.5074,-0.1278"
103,875193.0,,570.67,2020-07-05,141,AUD,Completed,Mobile App,0.9,"25.276987,55.296249"
104,303843.0,Withdrawal,6531.58,2020-09-20,190,GBP,Failed,Mobile App,4.91,"51.5074,-0.1278"
105,102194.0,Deposit,9021.75,2022-05-11,390,JPY,Pending,POS,1.21,"35.6895,139.6917"
106,511889.0,Deposit,9225.17,2024-04-20,258,EUR,Pending,ATM,3.05,"52.52,13.405"
107,640162.0,Transfer,2987.33,2020-01-13,338,JPY,Reversed,POS,6.77,"35.6895,139.6917"
108,474054.0,Withdrawal,9305.77,2020-01-30,59,JPY,Failed,ATM,3.44,"35.6895,139.6917"
109,164039.0,Withdrawal,3765.65,2021-09-12,309,USD,Reversed,Branch,5.81,"40.7128,-74.006"
110,479052.0,Transfer,9067.57,2023-03-26,125,AUD,Completed,Branch,0.27,"-33.8688,151.2093"
111,591704.0,Deposit,6134.12,2022-08-06,53,JPY,Completed,ATM,5.17,"35.6895,139.6917"
112,160085.0,Payment,6322.64,2019-12-22,500,GBP,Pending,Mobile App,5.76,"51.5074,-0.1278"
113,560576.0,Deposit,7780.97,2022-09-30,357,GBP,Reversed,Branch,3.86,"51.5074,-0.1278"
114,511482.0,Payment,941.89,2022-06-08,242,GBP,Completed,POS,1.37,"51.5074,-0.1278"
115,631617.0,Transfer,9380.53,2021-01-10,181,EUR,Reversed,Online Banking,3.51,"52.52,13.405"
116,720795.0,Deposit,139.44,2021-06-14,111,GBP,Failed,Mobile App,5.09,"51.5074,-0.1278"
117,491233.0,Transfer,1844.63,2024-12-14,410,EUR,Pending,ATM,4.08,"1.3521,103.8198"
118,747581.0,Deposit,9868.4,2021-12-02,353,EUR,Pending,ATM,6.03,"52.52,13.405"
119,664674.0,Deposit,7622.74,2023-03-03,16,USD,Completed,POS,7.74,"40.7128,-74.006"
120,251672.0,Deposit,6647.91,2019-08-28,12,USD,Failed,POS,6.74,"52.52,13.405"
121,508418.0,Deposit,3859.7,2019-05-08,431,GBP,Completed,Online Banking,6.37,"51.5074,-0.1278"
122,254514.0,Withdrawal,948.85,2019-12-26,358,AUD,Pending,ATM,,"-33.8688,151.2093"
123,860035.0,Payment,965.5,2022-02-19,119,GBP,Reversed,Mobile App,,"51.5074,-0.1278"
124,163107.0,Deposit,377.6,2023-02-28,481,JPY,Failed,Mobile App,6.98,"35.6895,139.6917"
125,306082.0,Payment,7526.46,2022-05-27,194,GBP,Pending,POS,3.9,"51.5074,-0.1278"
126,327017.0,Withdrawal,5271.85,2019-03-03,362,USD,Completed,POS,1.45,"40.7128,-74.006"
127,795109.0,Transfer,7356.28,2022-03-05,255,JPY,Failed,,7.95,"35.6895,139.6917"
128,278036.0,Transfer,8623.69,2024-03-10,491,EUR,Completed,Mobile App,5.25,"52.52,13.405"
129,952259.0,Payment,7471.78,2019-05-14,344,USD,Failed,Online Banking,,"40.7128,-74.006"
130,152568.0,Transfer,4049.51,2023-10-15,242,AUD,Reversed,ATM,6.38,"-33.8688,151.2093"
131,830129.0,Deposit,9602.52,2023-07-12,230,AUD,Completed,ATM,3.94,"-33.8688,151.2093"
132,340533.0,Payment,6495.98,2024-12-24,76,INR,Reversed,Branch,9.29,"52.52,13.405"
133,473801.0,Deposit,3384.81,2021-07-14,215,JPY,Completed,Mobile App,7.9,"35.6895,139.6917"
134,972463.0,Transfer,4116.62,2020-06-11,254,JPY,Completed,Online Banking,7.84,"35.6895,139.6917"
135,771011.0,Deposit,6904.0,2022-12-03,183,GBP,Reversed,Branch,5.88,"51.5074,-0.1278"
136,679169.0,Withdrawal,4291.73,2024-03-03,200,EUR,Pending,Online Banking,9.13,"52.52,13.405"
137,539827.0,Payment,7995.74,2021-08-11,330,EUR,Completed,Branch,5.47,"52.52,13.405"
138,723938.0,Payment,9987.04,2024-03-11,362,GBP,Pending,Mobile App,4.41,"51.5074,-0.1278"
139,393230.0,Withdrawal,7581.06,2022-03-11,329,JPY,Pending,Online Banking,7.15,"35.6895,139.6917"
140,257222.0,Payment,7941.53,2024-10-25,363,AUD,Failed,Online Banking,3.07,"-33.8688,151.2093"
141,309277.0,Payment,45.47,2024-09-12,364,AUD,Failed,ATM,3.19,"-33.8688,151.2093"
142,705974.0,Transfer,8620.43,2021-11-09,168,USD,Completed,Online Banking,4.02,"40.7128,-74.006"
143,439467.0,Payment,2004.62,2022-04-25,254,AUD,Completed,POS,5.81,"-33.8688,151.2093"
144,390421.0,Deposit,2390.31,2019-07-22,193,JPY,Pending,ATM,4.38,"35.6895,139.6917"
145,105468.0,Payment,3395.12,2019-07-11,186,USD,Completed,Online Banking,6.76,"40.7128,-74.006"
146,575899.0,Payment,2315.03,2019-12-03,274,ZAR,Pending,Branch,8.13,"35.6895,139.6917"
147,553637.0,Deposit,6593.4,2020-01-02,339,AUD,Pending,ATM,7.38,"-33.8688,151.2093"
148,857976.0,Withdrawal,1619.53,2024-07-31,408,EUR,Reversed,,9.12,
149,697263.0,Payment,8253.36,2024-12-15,326,GBP,Failed,Branch,4.87,"51.5074,-0.1278"
150,755110.0,Payment,3880.98,2019-10-29,454,EUR,Completed,Online Banking,8.19,"52.52,13.405"
151,248540.0,Transfer,9649.49,2019-01-29,464,USD,Completed,Branch,3.4,
152,626984.0,Deposit,535.35,2023-11-01,400,AUD,Pending,,9.38,"-33.8688,151.2093"
153,825566.0,Deposit,4744.36,2019-03-22,290,AUD,Failed,Online Banking,8.74,"-33.8688,151.2093"
154,637522.0,Deposit,2124.08,2021-03-05,314,SGD,Completed,ATM,3.9,"40.7128,-74.006"
155,290741.0,Deposit,3462.68,2021-12-07,37,JPY,Failed,Mobile App,4.17,"35.6895,139.6917"
156,944863.0,Deposit,8336.95,2021-06-08,55,EUR,Reversed,Branch,5.76,"52.52,13.405"
157,500508.0,Deposit,366.73,2019-11-26,459,JPY,Completed,Mobile App,7.98,"52.52,13.405"
158,197475.0,Withdrawal,5286.51,2020-01-18,266,GBP,Completed,,3.36,"51.5074,-0.1278"
159,742143.0,Transfer,2769.31,2019-12-28,492,USD,Pending,Online Banking,4.8,"40.7128,-74.006"
160,474083.0,Deposit,6812.96,2024-05-13,353,AUD,Failed,Branch,1.16,"-33.8688,151.2093"
161,422971.0,Deposit,7878.43,2020-09-21,447,AUD,Reversed,Online Banking,2.64,"-33.8688,151.2093"
162,140388.0,Payment,9992.73,2024-01-13,389,USD,Reversed,Branch,7.23,"-23.5505,-46.6333"
163,130174.0,Withdrawal,6435.36,2019-05-12,335,GBP,Completed,ATM,4.19,"51.5074,-0.1278"
164,320218.0,Transfer,2968.43,2022-04-09,415,JPY,Completed,POS,5.47,"35.6895,139.6917"
165,664844.0,Payment,6229.76,2023-07-03,230,INR,Reversed,,1.04,
166,380815.0,Deposit,5803.15,2022-04-07,152,GBP,Completed,Online Banking,2.31,"51.5074,-0.1278"
167,566565.0,Withdrawal,6591.02,2020-12-12,408,GBP,Completed,Online Banking,2.48,"51.5074,-0.1278"
168,487972.0,Transfer,6761.58,2023-01-01,353,USD,Reversed,Branch,0.36,"40.7128,-74.006"
169,670220.0,Payment,4911.54,2024-07-14,1,JPY,Failed,POS,4.86,"35.6895,139.6917"
170,199241.0,Transfer,3744.03,2021-10-25,43,AUD,Completed,Branch,2.84,"-33.8688,151.2093"
171,438736.0,Payment,7565.51,2023-04-10,52,GBP,Failed,Online Banking,7.25,"51.5074,-0.1278"
172,364822.0,Withdrawal,1594.6,2019-01-10,465,AUD,Pending,Mobile App,4.02,"-33.8688,151.2093"
173,398757.0,,6711.03,2024-08-23,156,USD,Reversed,POS,0.45,"40.7128,-74.006"
174,485394.0,Withdrawal,7213.33,2024-03-19,355,JPY,Failed,Mobile App,4.61,"35.6895,139.6917"
175,626497.0,Withdrawal,1256.56,2023-05-26,329,EUR,Failed,Mobile App,0.16,"52.52,13.405"
176,424660.0,Deposit,7948.43,2020-01-26,43,ZAR,Failed,Branch,9.66,"51.5074,-0.1278"
177,717314.0,Deposit,8794.02,2019-12-07,296,AUD,Pending,Branch,1.99,"-33.8688,151.2093"
178,243295.0,Withdrawal,3872.97,2024-04-26,288,EUR,Completed,Branch,9.17,"52.52,13.405"
179,231592.0,Payment,6929.41,2019-03-21,360,USD,Pending,ATM,1.51,"40.7128,-74.006"
180,341941.0,Payment,5166.6,2019-06-19,415,GBP,Completed,Branch,3.23,"-33.8688,151.2093"
181,743198.0,Deposit,5838.8,2023-12-05,471,AUD,Reversed,Branch,3.06,"-33.8688,151.2093"
182,854690.0,Deposit,2124.2,2024-04-13,344,AUD,Failed,Branch,6.02,"51.5074,-0.1278"
183,669707.0,Payment,1034.8,2020-04-11,489,AUD,Failed,POS,6.16,"-33.8688,151.2093"
184,385921.0,Payment,2391.62,2020-05-22,349,AUD,Reversed,Online Banking,4.25,"-33.8688,151.2093"
185,713728.0,Deposit,8188.51,2024-07-27,347,GBP,Reversed,Branch,7.16,"51.5074,-0.1278"
186,315254.0,Payment,3257.75,2021-04-11,432,AUD,Reversed,Mobile App,,"-33.9249,18.4241"
187,664775.0,Withdrawal,4915.32,2024-12-22,197,EUR,Failed,Mobile App,2.5,"52.52,13.405"
188,509971.0,Withdrawal,8248.75,2020-01-25,26,USD,Failed,POS,5.31,"40.7128,-74.006"
189,990289.0,Withdrawal,9479.94,2023-01-24,64,AUD,Pending,POS,5.77,"-33.8688,151.2093"
190,333602.0,Withdrawal,7862.42,2022-11-13,68,ZAR,Pending,POS,7.29,"51.5074,-0.1278"
191,455743.0,Deposit,27.0,2019-05-05,58,GBP,Failed,Mobile App,6.26,"51.5074,-0.1278"
192,697456.0,,8556.4,2020-10-17,361,USD,Reversed,Mobile App,3.94,"40.7128,-74.006"
193,612423.0,Withdrawal,5223.28,2021-05-20,175,AUD,Reversed,Mobile App,5.12,"-33.8688,151.2093"
194,612737.0,Transfer,6464.18,2021-07-22,325,JPY,Reversed,POS,3.98,"35.6895,139.6917"
195,557977.0,Payment,9017.75,2020-07-15,142,JPY,Failed,POS,3.06,"35.6895,139.6917"
196,595355.0,Transfer,4402.09,2021-08-05,113,AUD,Completed,Online Banking,0.57,"-33.8688,151.2093"
197,996071.0,Transfer,6465.54,2020-04-27,297,CAD,Reversed,Mobile App,5.62,"52.52,13.405"
198,959316.0,Withdrawal,6140.61,2024-03-05,149,EUR,Failed,Mobile App,1.42,"52.52,13.405"
199,615922.0,Withdrawal,7500.07,2020-12-30,483,AUD,Reversed,Branch,5.45,"52.52,13.405"
200,718115.0,,3699.02,2022-12-18,6,GBP,Reversed,Mobile App,4.01,"51.5074,-0.1278"
201,212676.0,Payment,5413.18,2019-11-10,212,USD,Completed,Online Banking,6.99,"40.7128,-74.006"
202,653358.0,Deposit,8459.57,2024-02-13,302,JPY,Completed,Branch,1.71,"35.6895,139.6917"
203,983391.0,Payment,7564.07,2022-09-04,39,JPY,Failed,Online Banking,1.82,"35.6895,139.6917"
204,925146.0,Deposit,6663.89,2023-09-20,453,USD,Failed,POS,4.93,"40.7128,-74.006"
205,541510.0,Payment,4599.05,2024-09-12,262,USD,Completed,Branch,,"40.7128,-74.006"
206,934299.0,Payment,2569.01,2022-11-14,1,AUD,Pending,Online Banking,3.8,"-33.8688,151.2093"
207,717169.0,,3207.44,2024-08-22,104,EUR,Pending,Mobile App,5.31,"52.52,13.405"
208,902774.0,Deposit,7766.53,2020-10-31,46,GBP,Failed,Branch,,"51.5074,-0.1278"
209,266628.0,Transfer,135.18,2021-03-12,430,EUR,Reversed,Mobile App,6.92,"48.8566,2.3522"
210,458817.0,,7980.34,2023-10-23,58,AUD,Reversed,Branch,2.31,"-33.8688,151.2093"
211,946555.0,Payment,266.82,2019-08-14,145,AUD,Failed,Branch,9.3,"-33.8688,151.2093"
212,795997.0,Deposit,1462.6,2021-04-01,137,USD,Failed,ATM,7.09,"40.7128,-74.006"
213,239717.0,Deposit,2143.37,2021-03-06,262,AUD,Completed,ATM,1.06,"-33.8688,151.2093"
214,315929.0,Payment,3510.93,2023-10-26,493,JPY,Failed,Online Banking,4.6,"19.076,72.8777"
215,527947.0,,5347.07,2024-10-15,412,GBP,Failed,Branch,1.35,"51.5074,-0.1278"
216,123228.0,Payment,313.86,2023-07-07,254,GBP,Failed,Branch,3.33,"51.5074,-0.1278"
217,273833.0,Deposit,7820.17,2022-09-09,303,GBP,Failed,Mobile App,1.64,"51.5074,-0.1278"
218,284295.0,Transfer,3010.01,2021-10-15,231,GBP,Pending,ATM,3.99,"51.5074,-0.1278"
219,137059.0,Payment,853.12,2022-06-28,453,JPY,Completed,Online Banking,6.87,"52.52,13.405"
220,584733.0,Payment,8357.45,2020-03-15,477,ZAR,Completed,,2.24,"35.6895,139.6917"
221,100876.0,Withdrawal,2586.78,2019-11-07,243,EUR,Reversed,Mobile App,,"52.52,13.405"
222,959008.0,Transfer,9719.96,2020-04-26,432,GBP,Failed,Online Banking,5.25,"51.5074,-0.1278"
223,807480.0,Payment,7897.41,2023-05-25,401,AUD,Completed,Branch,6.21,"-33.8688,151.2093"
224,592557.0,Transfer,8811.46,2019-07-28,188,AUD,Completed,Online Banking,2.75,"-33.8688,151.2093"
225,845733.0,Deposit,5313.39,2023-01-05,342,AUD,Completed,Mobile App,1.69,"-33.8688,151.2093"
226,798753.0,Withdrawal,3948.29,2021-01-10,256,JPY,Pending,POS,1.96,"35.6895,139.6917"
227,300103.0,Deposit,2813.98,2020-05-24,429,SGD,Pending,Mobile App,7.53,"51.5074,-0.1278"
228,236383.0,Transfer,1948.37,2024-02-04,241,GBP,Failed,Online Banking,2.73,"51.5074,-0.1278"
229,431346.0,Payment,9726.68,2023-03-15,26,GBP,Failed,ATM,3.42,"51.5074,-0.1278"
230,703843.0,Transfer,3359.77,2019-04-06,383,EUR,Completed,POS,9.94,"52.52,13.405"
231,889433.0,Withdrawal,8781.82,2024-12-26,74,GBP,Pending,ATM,1.98,"51.5074,-0.1278"
232,935337.0,Withdrawal,3879.94,2022-10-12,221,AUD,Pending,POS,1.02,"-33.8688,151.2093"
233,158105.0,Deposit,2662.12,2023-01-15,201,AUD,Reversed,Branch,8.55,"-33.8688,151.2093"
234,951910.0,Withdrawal,4723.04,2024-02-01,176,AUD,Pending,Branch,,"-33.8688,151.2093"
235,875648.0,Transfer,8309.99,2020-01-20,229,AUD,Reversed,Online Banking,1.17,"-33.8688,151.2093"
236,127491.0,Withdrawal,8182.26,2022-12-09,465,USD,Completed,ATM,6.97,"40.7128,-74.006"
237,280534.0,Transfer,6897.75,2019-02-07,217,EUR,Completed,ATM,6.53,"52.52,13.405"
238,195020.0,Transfer,8108.9,2020-04-25,83,EUR,Completed,Mobile App,3.61,"52.52,13.405"
239,379644.0,Deposit,6421.66,2019-06-11,414,USD,Failed,POS,5.5,"40.7128,-74.006"
240,493503.0,Transfer,9416.99,2020-06-09,23,EUR,Completed,ATM,6.8,"52.52,13.405"
241,712210.0,Withdrawal,7653.83,2019-05-16,245,AUD,Completed,Branch,3.34,"-33.8688,151.2093"
242,654852.0,Withdrawal,4498.27,2024-12-03,436,JPY,Completed,POS,7.98,"1.3521,103.8198"
243,766598.0,Deposit,6516.34,2021-05-17,457,USD,Pending,Online Banking,4.31,"40.7128,-74.006"
244,809611.0,Withdrawal,7977.86,2024-12-14,178,USD,Completed,POS,8.27,"40.7128,-74.006"
245,286966.0,Transfer,6262.3,2022-08-11,45,JPY,Reversed,Branch,,"35.6895,139.6917"
246,284255.0,Deposit,2447.6,2022-08-15,56,AUD,Failed,ATM,4.95,"-33.8688,151.2093"
247,376069.0,Payment,6605.11,2022-05-31,465,JPY,Completed,Online Banking,5.92,"35.6895,139.6917"
248,623976.0,Payment,1541.42,2020-12-25,213,GBP,Completed,Branch,3.79,"51.5074,-0.1278"
249,310171.0,Withdrawal,6634.92,2021-07-04,408,EUR,Reversed,ATM,9.58,"52.52,13.405"
250,410827.0,Withdrawal,8133.33,2024-07-14,56,EUR,Failed,ATM,6.96,"52.52,13.405"
251,772112.0,Payment,7384.26,2022-11-27,202,JPY,Reversed,Online Banking,0.12,"35.6895,139.6917"
252,673166.0,Transfer,1323.9,2019-03-21,466,EUR,Completed,Branch,5.83,"52.52,13.405"
253,971343.0,Payment,5008.5,2021-11-24,95,AED,Pending,Online Banking,8.51,"35.6895,139.6917"
254,275431.0,Payment,7410.91,2019-12-05,187,GBP,Completed,Branch,0.16,"51.5074,-0.1278"
255,985593.0,Deposit,1514.81,2020-08-08,375,EUR,Reversed,POS,,
256,646021.0,Transfer,8394.03,2021-06-01,187,EUR,Reversed,Branch,0.7,"52.52,13.405"
257,902589.0,Withdrawal,2648.29,2022-01-23,151,GBP,Failed,Branch,,"51.5074,-0.1278"
258,545058.0,Payment,565.09,2024-03-25,211,EUR,Reversed,Online Banking,2.84,"52.52,13.405"
